gene_symbol	safety_gate	critical_tissue_flag	note
ADAMTS2	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS20	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS3	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS4	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS5	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS6	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS7	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS7P1	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS7P3	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS7P4	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS8	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS9	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS9-AS1	UNKNOWN	UNKNOWN	not in local safety table
ADAMTS9-AS2	UNKNOWN	UNKNOWN	not in local safety table
ADAMTSL1	UNKNOWN	UNKNOWN	not in local safety table
ADAMTSL2	UNKNOWN	UNKNOWN	not in local safety table
ADAMTSL3	UNKNOWN	UNKNOWN	not in local safety table
ADAMTSL4	UNKNOWN	UNKNOWN	not in local safety table
ADAMTSL4-AS1	UNKNOWN	UNKNOWN	not in local safety table
ADAMTSL4-AS2	UNKNOWN	UNKNOWN	not in local safety table
ADAMTSL5	UNKNOWN	UNKNOWN	not in local safety table
ADAP1	UNKNOWN	UNKNOWN	not in local safety table
ADAP2	UNKNOWN	UNKNOWN	not in local safety table
ADAR	UNKNOWN	UNKNOWN	not in local safety table
ADARB1	UNKNOWN	UNKNOWN	not in local safety table
ADARB2	UNKNOWN	UNKNOWN	not in local safety table
ADAT1	UNKNOWN	UNKNOWN	not in local safety table
ADAT2	UNKNOWN	UNKNOWN	not in local safety table
ADAT3	UNKNOWN	UNKNOWN	not in local safety table
ADCK1	UNKNOWN	UNKNOWN	not in local safety table
ADCK2	UNKNOWN	UNKNOWN	not in local safety table
ADCK5	UNKNOWN	UNKNOWN	not in local safety table
ADCY1	UNKNOWN	UNKNOWN	not in local safety table
ADCY10	UNKNOWN	UNKNOWN	not in local safety table
ADCY10P1	UNKNOWN	UNKNOWN	not in local safety table
ADCY2	UNKNOWN	UNKNOWN	not in local safety table
ADCY3	UNKNOWN	UNKNOWN	not in local safety table
ADCY4	UNKNOWN	UNKNOWN	not in local safety table
ADCY5	UNKNOWN	UNKNOWN	not in local safety table
ADCY6	UNKNOWN	UNKNOWN	not in local safety table
ADCY7	UNKNOWN	UNKNOWN	not in local safety table
ADCY8	UNKNOWN	UNKNOWN	not in local safety table
ADCY9	UNKNOWN	UNKNOWN	not in local safety table
ADCYAP1	UNKNOWN	UNKNOWN	not in local safety table
ADCYAP1R1	UNKNOWN	UNKNOWN	not in local safety table
ADD1	UNKNOWN	UNKNOWN	not in local safety table
ADD2	UNKNOWN	UNKNOWN	not in local safety table
ADD3	UNKNOWN	UNKNOWN	not in local safety table
ADGB	UNKNOWN	UNKNOWN	not in local safety table
ADGRA1	UNKNOWN	UNKNOWN	not in local safety table
ADGRA2	UNKNOWN	UNKNOWN	not in local safety table
ADGRA3	UNKNOWN	UNKNOWN	not in local safety table
ADGRB1	UNKNOWN	UNKNOWN	not in local safety table
ADGRB2	UNKNOWN	UNKNOWN	not in local safety table
ADGRB3	UNKNOWN	UNKNOWN	not in local safety table
ADGRD1	UNKNOWN	UNKNOWN	not in local safety table
ADGRD2	UNKNOWN	UNKNOWN	not in local safety table
ADGRE1	UNKNOWN	UNKNOWN	not in local safety table
ADGRE2	UNKNOWN	UNKNOWN	not in local safety table
ADGRE3	UNKNOWN	UNKNOWN	not in local safety table
ADGRE4P	UNKNOWN	UNKNOWN	not in local safety table
ADGRE5	UNKNOWN	UNKNOWN	not in local safety table
ADGRF1	UNKNOWN	UNKNOWN	not in local safety table
ADGRF2	UNKNOWN	UNKNOWN	not in local safety table
ADGRF3	UNKNOWN	UNKNOWN	not in local safety table
ADGRF4	UNKNOWN	UNKNOWN	not in local safety table
ADGRF5	UNKNOWN	UNKNOWN	not in local safety table
ADGRG1	UNKNOWN	UNKNOWN	not in local safety table
ADGRG2	UNKNOWN	UNKNOWN	not in local safety table
ADGRG3	UNKNOWN	UNKNOWN	not in local safety table
ADGRG4	UNKNOWN	UNKNOWN	not in local safety table
ADGRG5	UNKNOWN	UNKNOWN	not in local safety table
ADGRG6	UNKNOWN	UNKNOWN	not in local safety table
ADGRG7	UNKNOWN	UNKNOWN	not in local safety table
ADGRL1	UNKNOWN	UNKNOWN	not in local safety table
ADGRL1-AS1	UNKNOWN	UNKNOWN	not in local safety table
ADGRL2	UNKNOWN	UNKNOWN	not in local safety table
ADGRL3	UNKNOWN	UNKNOWN	not in local safety table
ADGRL4	UNKNOWN	UNKNOWN	not in local safety table
ADGRV1	UNKNOWN	UNKNOWN	not in local safety table
ADH1A	UNKNOWN	UNKNOWN	not in local safety table
ADH1B	UNKNOWN	UNKNOWN	not in local safety table
ADH1C	UNKNOWN	UNKNOWN	not in local safety table
ADH4	UNKNOWN	UNKNOWN	not in local safety table
ADH5	UNKNOWN	UNKNOWN	not in local safety table
ADH5P3	UNKNOWN	UNKNOWN	not in local safety table
ADH6	UNKNOWN	UNKNOWN	not in local safety table
ADH7	UNKNOWN	UNKNOWN	not in local safety table
ADHFE1	UNKNOWN	UNKNOWN	not in local safety table
ADI1	UNKNOWN	UNKNOWN	not in local safety table
ADIG	UNKNOWN	UNKNOWN	not in local safety table
ADIPOQ	UNKNOWN	UNKNOWN	not in local safety table
ADIPOR1	UNKNOWN	UNKNOWN	not in local safety table
ADIPOR2	UNKNOWN	UNKNOWN	not in local safety table
ADIRF	UNKNOWN	UNKNOWN	not in local safety table
ADISSP	UNKNOWN	UNKNOWN	not in local safety table
ADK	UNKNOWN	UNKNOWN	not in local safety table
ADM	UNKNOWN	UNKNOWN	not in local safety table
ADM2	UNKNOWN	UNKNOWN	not in local safety table
ADM5	UNKNOWN	UNKNOWN	not in local safety table
ADNP	UNKNOWN	UNKNOWN	not in local safety table
ADNP2	UNKNOWN	UNKNOWN	not in local safety table
ADO	UNKNOWN	UNKNOWN	not in local safety table
ADORA1	UNKNOWN	UNKNOWN	not in local safety table
ADORA2A	UNKNOWN	UNKNOWN	not in local safety table
ADORA2A-AS1	UNKNOWN	UNKNOWN	not in local safety table
ADORA2B	UNKNOWN	UNKNOWN	not in local safety table
ADORA3	UNKNOWN	UNKNOWN	not in local safety table
ADPGK	UNKNOWN	UNKNOWN	not in local safety table
ADPGK-AS1	UNKNOWN	UNKNOWN	not in local safety table
ADPRH	UNKNOWN	UNKNOWN	not in local safety table
ADPRHL1	UNKNOWN	UNKNOWN	not in local safety table
ADPRHL2	UNKNOWN	UNKNOWN	not in local safety table
ADPRM	UNKNOWN	UNKNOWN	not in local safety table
ADPRS	UNKNOWN	UNKNOWN	not in local safety table
ADRA1A	UNKNOWN	UNKNOWN	not in local safety table
ADRA1B	UNKNOWN	UNKNOWN	not in local safety table
ADRA1D	UNKNOWN	UNKNOWN	not in local safety table
ADRA2A	UNKNOWN	UNKNOWN	not in local safety table
ADRA2B	UNKNOWN	UNKNOWN	not in local safety table
ADRA2C	UNKNOWN	UNKNOWN	not in local safety table
ADRB1	UNKNOWN	UNKNOWN	not in local safety table
ADRB2	UNKNOWN	UNKNOWN	not in local safety table
ADRB3	UNKNOWN	UNKNOWN	not in local safety table
ADRM1	UNKNOWN	UNKNOWN	not in local safety table
ADSL	UNKNOWN	UNKNOWN	not in local safety table
ADSS	UNKNOWN	UNKNOWN	not in local safety table
ADSS1	UNKNOWN	UNKNOWN	not in local safety table
ADSS2	UNKNOWN	UNKNOWN	not in local safety table
ADSSL1	UNKNOWN	UNKNOWN	not in local safety table
ADTRP	UNKNOWN	UNKNOWN	not in local safety table
AEBP1	UNKNOWN	UNKNOWN	not in local safety table
AEBP2	UNKNOWN	UNKNOWN	not in local safety table
AEN	UNKNOWN	UNKNOWN	not in local safety table
AES	UNKNOWN	UNKNOWN	not in local safety table
AFAP1	UNKNOWN	UNKNOWN	not in local safety table
AFAP1-AS1	UNKNOWN	UNKNOWN	not in local safety table
AFAP1L1	UNKNOWN	UNKNOWN	not in local safety table
AFAP1L2	UNKNOWN	UNKNOWN	not in local safety table
AFDN	UNKNOWN	UNKNOWN	not in local safety table
AFF1	UNKNOWN	UNKNOWN	not in local safety table
AFF2	UNKNOWN	UNKNOWN	not in local safety table
AFF3	UNKNOWN	UNKNOWN	not in local safety table
AFF4	UNKNOWN	UNKNOWN	not in local safety table
AFG1L	UNKNOWN	UNKNOWN	not in local safety table
AFG2A	UNKNOWN	UNKNOWN	not in local safety table
AFG2B	UNKNOWN	UNKNOWN	not in local safety table
AFG3L1P	UNKNOWN	UNKNOWN	not in local safety table
AFG3L2	UNKNOWN	UNKNOWN	not in local safety table
AFM	UNKNOWN	UNKNOWN	not in local safety table
AFMID	UNKNOWN	UNKNOWN	not in local safety table
AFP	UNKNOWN	UNKNOWN	not in local safety table
AFTPH	UNKNOWN	UNKNOWN	not in local safety table
AGA	UNKNOWN	UNKNOWN	not in local safety table
AGAP1	UNKNOWN	UNKNOWN	not in local safety table
AGAP1-IT1	UNKNOWN	UNKNOWN	not in local safety table
AGAP11	UNKNOWN	UNKNOWN	not in local safety table
AGAP12P	UNKNOWN	UNKNOWN	not in local safety table
AGAP2	UNKNOWN	UNKNOWN	not in local safety table
AGAP2-AS1	UNKNOWN	UNKNOWN	not in local safety table
AGAP3	UNKNOWN	UNKNOWN	not in local safety table
AGAP4	UNKNOWN	UNKNOWN	not in local safety table
