gene_symbol	GSM9336110	GSM9336111	GSM9336112	GSM9336113	GSM9336114	GSM9336115
GVINP2	0	0	0	0	2	0
GVQW3	10	6	20	10	20	10
GXYLT1	380	659	632	485	436	426
GXYLT2	8	2	4	0	6	2
GYG1	1025	1155	1505	1477	1159	1308
GYPC	328	395	396	659	702	697
GYPE	0	2	0	0	0	0
GYS1	3177	4883	4730	6871	5766	5751
GZF1	205	165	244	172	191	234
GZMA	0	0	0	14	6	4
GZMM	0	0	0	2	0	0
H1-0	1641	2220	2234	1770	1478	1810
H1-1	202	346	394	102	130	106
H1-10	340	406	428	342	284	266
H1-2	5388	8210	8164	5628	3685	4010
H1-3	1168	1792	1752	1740	1004	1058
H1-4	4087	6869	6472	4664	3012	3658
H1-5	4750	7893	7062	2500	1544	1824
H1-6	0	0	6	0	0	0
H19	0	2	0	6	0	2
H2AC11	5212	8207	7798	4214	2682	2550
H2AC12	2834	4091	3908	1756	959	976
H2AC13	2587	3936	3504	1848	1474	1364
H2AC14	2702	4521	3846	1394	902	924
H2AC15	996	1651	1624	1026	629	730
H2AC16	4059	5888	5750	2458	1700	1798
H2AC17	0	0	3	0	0	0
H2AC18	4	6	6	2	0	2
H2AC19	8	34	12	2	0	2
H2AC20	4030	6209	5550	4048	2430	2666
H2AC21	450	860	732	407	294	248
H2AC25	256	500	332	506	464	434
H2AC4	806	1342	1230	476	368	362
H2AC6	3976	6182	5976	4874	3118	3412
H2AC8	5567	8944	8320	4290	3056	3326
H2AJ	188	272	326	701	642	618
H2AX	1646	2382	2354	1575	1315	1042
H2AZ1	2578	3680	3602	1926	1576	1676
H2AZ2	1061	1595	1622	1145	1174	1259
H2BC10	3548	5692	5677	4230	2633	2743
H2BC11	3463	5983	5923	2573	1625	1864
H2BC12	12199	23076	21242	8530	7389	8308
H2BC12L	1	2	0	0	0	0
H2BC13	3044	5104	5027	2470	1438	1700
H2BC14	2307	3920	3657	1608	788	1010
H2BC15	3169	4691	4720	3797	2476	2622
H2BC16P	2	4	0	0	0	0
H2BC17	3225	5005	5095	1947	1350	1486
H2BC18	10965	16600	16004	10250	6372	6767
H2BC21	6953	10860	11866	8170	4856	5703
H2BC26	294	394	384	876	548	586
H2BC27P	2	0	4	2	2	0
H2BC3	790	1367	1282	422	262	244
H2BC4	8308	12560	11584	6084	4094	4608
